Service,Slot,Mapping,Categorical,Accuracy,F1,Recall,Precision
hotel,hotel-pricerange,Non-mapping,Categorical,0.842919153553988,0.38404255319148933,0.48717948717948717,0.3169446883230904
hotel,hotel-type,Non-mapping,Categorical,0.8102278893109062,0.22493074792243767,0.2942028985507246,0.18206278026905828
hotel,hotel-parking,Non-mapping,Categorical,0.8510580575149214,0.03345070422535211,0.04738154613466334,0.02585034013605442
hotel,hotel-bookday,Non-mapping,Categorical,0.9267498643516007,0.7213622291021672,0.6760154738878144,0.7732300884955752
hotel,hotel-bookpeople,Mapping,Categorical,0.7440314704286489,0.286578449905482,0.23208818126148192,0.37450592885375494
hotel,hotel-bookstay,Mapping,Categorical,0.9301410743353229,0.776959722823733,0.6379800853485064,0.9933554817275747
hotel,hotel-stars,Mapping,Categorical,0.939636462289745,0.81419624217119,0.7689274447949527,0.865128660159716
hotel,hotel-internet,Non-mapping,Categorical,0.847802495930548,0.007079646017699116,0.030303030303030304,0.004008016032064128
hotel,hotel-name,Mapping,Non-categorical,0.765735214324471,0.23550243470562196,0.1487695749440716,0.564755838641189
hotel,hotel-area,Non-mapping,Categorical,0.773060227889311,0.37270341207349084,0.2679245283018868,0.6120689655172413
train,train-arriveby,Non-mapping,Non-categorical,0.8244709712425393,0.5680907877169559,0.5050445103857567,0.6491228070175439
train,train-departure,Mapping,Categorical,0.9000271296798698,0.864993588569335,0.7930802821632515,0.9512489927477841
train,train-day,Non-mapping,Categorical,0.8878187737384698,0.8253431890179512,0.7894949494949495,0.8646017699115044
train,train-bookpeople,Mapping,Categorical,0.6752577319587629,0.45516613563950836,0.30404378230465184,0.9049773755656109
train,train-leaveat,Non-mapping,Non-categorical,0.7803852414541509,0.45870946171848886,0.32713400095374345,0.767337807606264
train,train-destination,Mapping,Categorical,0.8071079761258817,0.7520055807464249,0.6499849261380766,0.8920148944973108
attraction,attraction-area,Non-mapping,Categorical,0.7973412913727618,0.35934819897084047,0.49236192714453586,0.28291694800810263
attraction,attraction-name,Mapping,Non-categorical,0.8171459576776994,0.0,0.0,0.0
attraction,attraction-type,Mapping,Categorical,0.8440043407487792,0.5839363241678726,0.6265527950310559,0.5467479674796748
restaurant,restaurant-pricerange,Mapping,Categorical,0.856348345089528,0.7335849056603774,0.586484312148029,0.9791806581598388
restaurant,restaurant-area,Non-mapping,Categorical,0.8107704829083017,0.6673026472692584,0.5287226001511716,0.9043309631544926
restaurant,restaurant-food,Mapping,Non-categorical,0.7634291915355399,0.48218527315914494,0.32350597609561754,0.9463869463869464
restaurant,restaurant-name,Mapping,Non-categorical,0.7181226261530114,0.2546628407460545,0.1488469601677149,0.8808933002481389
restaurant,restaurant-bookday,Non-mapping,Categorical,0.9485892566467715,0.8566023458191447,0.7764060356652949,0.9552742616033755
restaurant,restaurant-bookpeople,Mapping,Categorical,0.7947639717851329,0.6193710691823899,0.4619136960600375,0.9396946564885497
restaurant,restaurant-booktime,Mapping,Non-categorical,0.8463103635377103,0.6830769230769231,0.5209044368600683,0.991876523151909
taxi,taxi-leaveat,Non-mapping,Non-categorical,0.9599837221920782,0.6651532349602722,0.5017123287671232,0.9865319865319865
taxi,taxi-destination,Mapping,Non-categorical,0.9211882799782962,0.24250325945241202,0.15656565656565657,0.5375722543352601
taxi,taxi-departure,Non-mapping,Non-categorical,0.9226804123711341,0.18803418803418803,0.1575178997613365,0.2332155477031802
taxi,taxi-arriveby,Non-mapping,Non-categorical,0.9525230602278894,0.5218579234972678,0.3812375249500998,0.8268398268398268
