Service,active_intent_accuracy,requested_slots_f1,requested_slots_precision,requested_slots_recall,slot_tagging_f1,slot_tagging_precision,slot_tagging_recall,average_goal_accuracy,average_noncat_accuracy,joint_goal_accuracy,joint_cat_accuracy,joint_noncat_accuracy,average_cat_accuracy
#ALL_SERVICES,1.0,0.974023331524688,1.0,0.974023331524688,0.9561799149936698,0.9593309142702117,0.9735146500271297,0.4503151016376569,0.31663098211807617,0.06850244167118828,0.22042864894194247,0.20211611502984264,0.5598465022523188
#SEEN_SERVICES,1.0,0.974023331524688,1.0,0.974023331524688,0.9561799149936698,0.9593309142702117,0.9735146500271297,0.4503151016376569,0.31663098211807617,0.06850244167118828,0.22042864894194247,0.20211611502984264,0.5598465022523188
attraction,1.0,0.9305480195333695,1.0,0.9305480195333695,0.960119370591427,0.9660879001627781,0.9820944112859469,0.2995615837785998,0.15578635014836795,0.6805480195333695,0.75,0.773060227889311,0.3501984126984127
bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,
hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,
hotel,1.0,0.9610689093868693,1.0,0.9610689093868693,0.9715138361367336,0.9743624525230602,0.9801953336950624,0.36341217708103335,0.1717557251908397,0.6418882257189366,0.6530113944655453,0.7668204015192621,0.403320775567611
police,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,
restaurant,1.0,0.9618827997829625,1.0,0.9618827997829625,0.9051817688551275,0.9074877916440586,0.9382799782962561,0.682544388526251,0.47590673575129533,0.6253391209983722,0.6857026587086272,0.7093054801953337,0.7793832823649337
taxi,1.0,0.9918610960390667,1.0,0.9918610960390667,0.9522517634291915,0.9644601193705914,0.9556429734129137,0.3833333333333333,0.3833333333333333,0.9072164948453608,,0.9072164948453608,
train,1.0,0.946825827455236,1.0,0.946825827455236,0.8603725809368782,0.8622490504612046,0.9319045035268584,0.43970921022855847,0.3490172551708376,0.6094682582745523,0.8123982637004883,0.6121812262615302,0.6422932330827068
